2019-12-20 11:04:14 INFO  Logger:18 - Before navigating to: 'https://www.freecrm.com/'
2019-12-20 11:04:21 INFO  Logger:18 - Before navigating to: 'https://www.freecrm.com/'
2019-12-20 11:48:10 INFO  Logger:17 - Before navigating to: 'https://www.freecrm.com/'
2019-12-20 11:48:17 INFO  Logger:21 - Navigated to:'https://www.freecrm.com/'
2019-12-20 11:48:22 INFO  Logger:17 - Before navigating to: 'https://www.freecrm.com/'
2019-12-20 11:48:27 INFO  Logger:21 - Navigated to:'https://www.freecrm.com/'
2019-12-20 11:48:27 INFO  Logger:74 - Trying to find Element By : By.xpath: //div/ul/a[attribute::href='https://ui.freecrm.com']
2019-12-20 11:48:27 INFO  Logger:80 - Found Element By : By.xpath: //div/ul/a[attribute::href='https://ui.freecrm.com']
2019-12-20 11:48:27 INFO  Logger:33 - Trying to click on: [[ChromeDriver: chrome on XP (393a33f3b7a6dad6926dbb487e9a7c02)] -> xpath: //div/ul/a[attribute::href='https://ui.freecrm.com']]
2019-12-20 11:48:30 INFO  Logger:37 - Clicked on: [[ChromeDriver: chrome on XP (393a33f3b7a6dad6926dbb487e9a7c02)] -> xpath: //div/ul/a[attribute::href='https://ui.freecrm.com']]
2020-01-06 23:58:08 INFO  Logger:17 - Before navigating to: 'https://www.freecrm.com/'
2020-01-06 23:58:12 INFO  Logger:21 - Navigated to:'https://www.freecrm.com/'
2020-01-06 23:58:12 INFO  Logger:74 - Trying to find Element By : By.xpath: //div/ul/a[attribute::href='https://ui.freecrm.com']
2020-01-06 23:58:25 INFO  Logger:17 - Before navigating to: 'https://www.freecrm.com/'
2020-01-06 23:58:27 INFO  Logger:21 - Navigated to:'https://www.freecrm.com/'
2020-01-06 23:58:31 INFO  Logger:17 - Before navigating to: 'https://www.freecrm.com/'
2020-01-06 23:58:37 INFO  Logger:21 - Navigated to:'https://www.freecrm.com/'
2020-01-06 23:58:37 INFO  Logger:74 - Trying to find Element By : By.xpath: //div/ul/a[attribute::href='https://ui.freecrm.com']
2020-01-06 23:58:51 INFO  Logger:17 - Before navigating to: 'https://www.freecrm.com/'
2020-01-06 23:58:53 INFO  Logger:21 - Navigated to:'https://www.freecrm.com/'
2020-01-06 23:58:53 INFO  Logger:74 - Trying to find Element By : By.xpath: //div/ul/a[attribute::href='https://ui.freecrm.com']
2020-01-06 23:59:07 INFO  Logger:17 - Before navigating to: 'https://www.freecrm.com/'
2020-01-06 23:59:09 INFO  Logger:21 - Navigated to:'https://www.freecrm.com/'
2020-01-06 23:59:09 INFO  Logger:74 - Trying to find Element By : By.xpath: //div/ul/a[attribute::href='https://ui.freecrm.com']
2020-01-07 00:05:21 INFO  Logger:17 - Before navigating to: 'https://www.freecrm.com/'
2020-01-07 00:05:23 INFO  Logger:21 - Navigated to:'https://www.freecrm.com/'
2020-01-07 00:05:27 INFO  Logger:17 - Before navigating to: 'https://www.freecrm.com/'
2020-01-07 00:05:29 INFO  Logger:21 - Navigated to:'https://www.freecrm.com/'
2020-01-07 00:05:29 INFO  Logger:74 - Trying to find Element By : By.xpath: //div/ul/a[attribute::href='https://ui.freecrm.com']
2020-01-07 00:12:42 INFO  Logger:17 - Before navigating to: 'https://www.freecrm.com/'
2020-01-07 00:12:45 INFO  Logger:21 - Navigated to:'https://www.freecrm.com/'
2020-01-07 00:12:45 INFO  Logger:74 - Trying to find Element By : By.xpath: //div/ul/a[attribute::href='https://ui.cogmento.com']
2020-01-07 00:12:58 INFO  Logger:17 - Before navigating to: 'https://www.freecrm.com/'
2020-01-07 00:13:00 INFO  Logger:21 - Navigated to:'https://www.freecrm.com/'
2020-01-07 00:13:04 INFO  Logger:17 - Before navigating to: 'https://www.freecrm.com/'
2020-01-07 00:13:06 INFO  Logger:21 - Navigated to:'https://www.freecrm.com/'
2020-01-07 00:13:06 INFO  Logger:74 - Trying to find Element By : By.xpath: //div/ul/a[attribute::href='https://ui.cogmento.com']
2020-01-07 00:13:20 INFO  Logger:17 - Before navigating to: 'https://www.freecrm.com/'
2020-01-07 00:13:21 INFO  Logger:21 - Navigated to:'https://www.freecrm.com/'
2020-01-07 00:13:21 INFO  Logger:74 - Trying to find Element By : By.xpath: //div/ul/a[attribute::href='https://ui.cogmento.com']
